step,datetime,portfolio_value,benchmark_value,cash,reward,portfolio_return,drawdown,total_fees,rolling_volatility,risk_adjusted_return,cost_penalty,risk_halted,price_btc_usdt,holding_btc_usdt,position_value_btc_usdt,action_btc_usdt,price_eth_usdt,holding_eth_usdt,position_value_eth_usdt,action_eth_usdt,label,agent_return,benchmark_return,agent_cumulative_return,benchmark_cumulative_return,agent_drawdown,benchmark_drawdown,gross_exposure,exposure_btc_usdt,exposure_eth_usdt
374,2026-04-21 07:10:00+00:00,10000.9453125,10219.3544921875,9646.970168515196,0.00021602607859982792,3.105271638030789e-05,0.0003109090619790626,0.002025859832763672,0.0016627765726298094,0.018673048065404613,2.0257312463076074e-07,False,75982.7109375,0.0,0.0,-1.0,2316.39990234375,0.15281277894973755,353.9755062360491,0.8745725154876709,forward_2026_0420_0428,3.10527163802643e-05,0.0009311437601795536,9.453125000002949e-05,0.021935449218750014,-0.0003107138893208017,-0.007830789785964298,0.035394204765185705,0.0,0.035394204765185705
375,2026-04-21 07:15:00+00:00,10000.943359375,10223.9052734375,9644.651452064028,-3.1574035043497073e-06,-1.952940386104126e-07,0.00031110429529898663,0.0023164000511169433,0.0016621195245534182,-0.00011749698792821246,2.3161810996223697e-07,False,76050.1796875,0.0,0.0,-1.0,2316.39990234375,0.15381278097629547,356.29191083271144,1.0,forward_2026_0420_0428,-1.9529403860740757e-07,0.00044531004903292093,9.433593750007851e-05,0.02239052734374991,-0.0003109091226788374,-0.007388966866314961,0.03562583028717179,0.0,0.03562583028717179
376,2026-04-21 07:20:00+00:00,10001.294921875,10234.759765625,9642.330433288804,0.0002639549539541139,3.515293381503268e-05,0.00027596229771265616,0.0023187000751495363,0.001525374362245202,0.023041367976354817,2.3184813590369552e-07,False,76136.1171875,0.0,0.0,-0.3474688231945038,2318.699951171875,0.1548127830028534,358.96439238949824,1.0,forward_2026_0420_0428,3.515293381495255e-05,0.001061677695283425,0.00012949218749991331,0.02347597656249989,-0.000275767118231629,-0.006335133872344634,0.035891791532351,0.0,0.035891791532351
377,2026-04-21 07:25:00+00:00,10002.1474609375,10250.2373046875,9640.003888888112,0.0006460788501498922,8.52428679645585e-05,0.0001907429535658048,0.002324220180511475,0.0015151191037148237,0.05620220888782752,2.3239192511240733e-07,False,76185.6015625,0.0,0.0,-0.3016389310359955,2324.219970703125,0.15581278502941132,362.1431866562307,1.0,forward_2026_0420_0428,8.524286796451896e-05,0.0015122523065449478,0.00021474609375005116,0.02502373046874995,-0.00019054775744720143,-0.004832461886610462,0.036206543451848594,0.0,0.036206543451848594
378,2026-04-21 07:30:00+00:00,10001.0166015625,10223.962890625,9637.684591784468,-0.0008600664793296668,-0.00011306165795060221,0.00030378304580183445,0.0023169801235198976,0.0015142755582928658,-0.07452542578832638,2.3164826679157232e-07,False,76032.1328125,0.0,0.0,-1.0,2316.97998046875,0.15681278705596924,363.33208829018986,1.0,forward_2026_0420_0428,-0.00011306165795055279,-0.0025632981248624453,0.00010166015625001634,0.02239628906250002,-0.00030358787175233104,-0.007383372970980351,0.03632951556479018,0.0,0.03632951556479018
379,2026-04-21 07:35:00+00:00,10001.669921875,10241.8828125,9635.476457769146,0.0004988323260202923,6.532539026061902e-05,0.00023847750028723703,0.002205928087234497,0.001501062186434865,0.04349198936466131,2.205703855035953e-07,False,76161.5078125,0.0,0.0,-1.0,2321.159912109375,0.15776313841342926,366.1934724938146,0.9503558278083801,forward_2026_0420_0428,6.53253902607176e-05,0.0017527373746075714,0.00016699218750004796,0.024188281250000054,-0.0002382823134879919,-0.005643576710129605,0.03661323312549039,0.0,0.03661323312549039
380,2026-04-21 07:40:00+00:00,10001.66796875,10245.859375,9633.152976531019,-2.922590361140394e-06,-1.952798897840302e-07,0.00023867273360716107,0.002321160078048706,0.0014999958220869303,-0.00013018695506037878,2.3207725271677043e-07,False,76220.453125,0.0,0.0,-1.0,2321.159912109375,0.15876314043998718,368.514637109889,1.0,forward_2026_0420_0428,-1.9527988981415945e-07,0.0003882647920112614,0.000166796875000097,0.024585937499999932,-0.00023847754684602762,-0.0052575031202558575,0.0368453180270836,0.0,0.0368453180270836
381,2026-04-21 07:45:00+00:00,10001.6669921875,10245.609375,9632.56479687362,-2.0016172088644532e-06,-9.76399639591365e-08,0.0002387703502671231,0.00058759206533432,0.0014989798655733466,-6.513760862538178e-05,5.874940731588361e-08,False,76216.7578125,0.0,0.0,-0.47188401222229004,2321.159912109375,0.15901628136634827,369.1022176802726,0.25314587354660034,forward_2026_0420_0428,-9.763996400291575e-08,-2.4400100650412426e-05,0.00016669921874989946,0.02456093749999999,-0.00023857516352498997,-0.005281774937300976,0.036904069888408164,0.0,0.036904069888408164
382,2026-04-21 07:50:00+00:00,10001.6650390625,10250.04296875,9630.241315635492,-2.934940349911129e-06,-1.952799469854e-07,0.00023896558358704718,0.002321160078048706,0.0014875580091029406,-0.00013127551642936724,2.3207732069682086e-07,False,76282.4921875,0.0,0.0,-1.0,2321.159912109375,0.1600162833929062,371.423382296347,1.0,forward_2026_0420_0428,-1.9527994699064521e-07,0.0004327310936544926,0.00016650390624994849,0.025004296874999943,-0.0002387703968830257,-0.004851329431891593,0.03713615491477828,0.0,0.03713615491477828
383,2026-04-21 07:55:00+00:00,10001.310546875,10233.048828125,9627.920036485482,-0.0002747940909522987,-3.544331729921922e-05,0.0002744004311532637,0.002318960189819336,0.0014905193820595741,-0.02377469140834964,2.3185741381684009e-07,False,76102.2734375,0.0,0.0,0.039736151695251465,2318.9599609375,0.1610162854194641,373.39031894662185,1.0,forward_2026_0420_0428,-3.54433172992108e-05,-0.0016579579887432416,0.00013105468749996518,0.023304882812499983,-0.0002742052513673432,-0.006501244120247107,0.037334139080731875,0.0,0.037334139080731875
