timestamp,open,high,low,close,volume,datetime,symbol
1776541800000,2350.23,2350.23,2347.87,2347.87,0.0823,2026-04-18 19:50:00+00:00,ETH/USDT
1776542100000,2349.73,2349.73,2349.73,2349.73,0.039,2026-04-18 19:55:00+00:00,ETH/USDT
1776542400000,2346.84,2346.95,2346.84,2346.95,0.0085,2026-04-18 20:00:00+00:00,ETH/USDT
1776542700000,2346.4,2349.14,2345.78,2349.13,0.0517,2026-04-18 20:05:00+00:00,ETH/USDT
1776543000000,2349.13,2349.13,2349.13,2349.13,0.0,2026-04-18 20:10:00+00:00,ETH/USDT
1776543300000,2351.44,2351.44,2351.44,2351.44,0.0108,2026-04-18 20:15:00+00:00,ETH/USDT
1776543600000,2351.44,2351.44,2351.44,2351.44,0.0,2026-04-18 20:20:00+00:00,ETH/USDT
1776543900000,2348.9,2349.8,2348.9,2349.36,5.2557,2026-04-18 20:25:00+00:00,ETH/USDT
1776544200000,2350.39,2350.39,2350.39,2350.39,0.0042,2026-04-18 20:30:00+00:00,ETH/USDT
1776544500000,2348.1,2348.1,2348.1,2348.1,0.0583,2026-04-18 20:35:00+00:00,ETH/USDT
1776544800000,2348.1,2348.1,2348.1,2348.1,0.0,2026-04-18 20:40:00+00:00,ETH/USDT
1776545100000,2352.94,2352.94,2352.94,2352.94,0.0106,2026-04-18 20:45:00+00:00,ETH/USDT
1776545400000,2353.94,2353.94,2353.35,2353.35,0.084,2026-04-18 20:50:00+00:00,ETH/USDT
1776545700000,2353.05,2353.05,2352.45,2352.45,1.4818,2026-04-18 20:55:00+00:00,ETH/USDT
1776546000000,2354.48,2355.1,2354.32,2355.1,0.0704,2026-04-18 21:00:00+00:00,ETH/USDT
1776546300000,2354.25,2354.25,2354.25,2354.25,0.0021,2026-04-18 21:05:00+00:00,ETH/USDT
1776546600000,2353.28,2353.28,2353.1,2353.1,0.0775,2026-04-18 21:10:00+00:00,ETH/USDT
1776546900000,2352.53,2352.53,2350.0,2350.0,0.2042,2026-04-18 21:15:00+00:00,ETH/USDT
1776547200000,2350.0,2350.0,2350.0,2350.0,0.0,2026-04-18 21:20:00+00:00,ETH/USDT
1776547500000,2350.0,2350.0,2350.0,2350.0,0.0,2026-04-18 21:25:00+00:00,ETH/USDT
1776547800000,2351.9,2351.9,2351.9,2351.9,0.0212,2026-04-18 21:30:00+00:00,ETH/USDT
1776548100000,2350.33,2350.33,2349.27,2349.27,0.028,2026-04-18 21:35:00+00:00,ETH/USDT
1776548400000,2349.27,2349.27,2349.27,2349.27,0.0,2026-04-18 21:40:00+00:00,ETH/USDT
1776548700000,2353.21,2353.21,2353.21,2353.21,0.0106,2026-04-18 21:45:00+00:00,ETH/USDT
1776549000000,2353.21,2353.21,2353.21,2353.21,0.0,2026-04-18 21:50:00+00:00,ETH/USDT
1776549300000,2353.38,2353.76,2353.38,2353.76,2.1181,2026-04-18 21:55:00+00:00,ETH/USDT
1776549600000,2355.48,2355.48,2353.46,2353.46,0.921,2026-04-18 22:00:00+00:00,ETH/USDT
1776549900000,2351.91,2351.91,2349.03,2349.03,0.0246,2026-04-18 22:05:00+00:00,ETH/USDT
1776550200000,2350.0,2350.82,2349.47,2349.47,12.4244,2026-04-18 22:10:00+00:00,ETH/USDT
1776550500000,2351.15,2351.15,2351.15,2351.15,0.212,2026-04-18 22:15:00+00:00,ETH/USDT
1776550800000,2351.53,2351.53,2351.53,2351.53,0.0106,2026-04-18 22:20:00+00:00,ETH/USDT
