timestamp,open,high,low,close,volume,datetime,symbol
1777128600000,77740.63,77740.63,77668.54,77668.54,0.00549,2026-04-25 14:50:00+00:00,BTC/USDT
1777128900000,77660.28,77668.85,77638.54,77668.85,0.00776,2026-04-25 14:55:00+00:00,BTC/USDT
1777129200000,77648.87,77678.21,77648.87,77678.21,0.00501,2026-04-25 15:00:00+00:00,BTC/USDT
1777129500000,77687.58,77687.58,77687.58,77687.58,3e-05,2026-04-25 15:05:00+00:00,BTC/USDT
1777129800000,77670.52,77676.55,77670.52,77676.55,0.00018,2026-04-25 15:10:00+00:00,BTC/USDT
1777130100000,77676.55,77676.55,77676.55,77676.55,0.0,2026-04-25 15:15:00+00:00,BTC/USDT
1777130400000,77676.55,77676.55,77676.55,77676.55,0.0,2026-04-25 15:20:00+00:00,BTC/USDT
1777130700000,77707.37,77721.4,77707.37,77721.4,0.00154,2026-04-25 15:25:00+00:00,BTC/USDT
1777131000000,77713.82,77713.82,77713.82,77713.82,0.00251,2026-04-25 15:30:00+00:00,BTC/USDT
1777131300000,77713.82,77713.82,77713.82,77713.82,0.0,2026-04-25 15:35:00+00:00,BTC/USDT
1777131600000,77682.54,77682.54,77682.54,77682.54,0.00064,2026-04-25 15:40:00+00:00,BTC/USDT
1777131900000,77652.57,77652.57,77500.0,77500.0,0.0016,2026-04-25 15:45:00+00:00,BTC/USDT
1777132200000,77500.0,77521.71,77328.96,77328.96,0.02078,2026-04-25 15:50:00+00:00,BTC/USDT
1777132500000,77336.33,77403.99,77321.82,77321.82,0.02111,2026-04-25 15:55:00+00:00,BTC/USDT
1777132800000,77324.77,77400.4,77324.77,77395.29,0.01395,2026-04-25 16:00:00+00:00,BTC/USDT
1777133100000,77350.6,77430.51,77350.6,77430.51,0.001,2026-04-25 16:05:00+00:00,BTC/USDT
1777133400000,77456.19,77456.19,77456.19,77456.19,0.00014,2026-04-25 16:10:00+00:00,BTC/USDT
1777133700000,77460.15,77460.15,77454.42,77456.91,0.00518,2026-04-25 16:15:00+00:00,BTC/USDT
1777134000000,77427.69,77427.69,77427.69,77427.69,0.0023,2026-04-25 16:20:00+00:00,BTC/USDT
1777134300000,77373.44,77399.88,77373.44,77399.88,0.01521,2026-04-25 16:25:00+00:00,BTC/USDT
1777134600000,77408.97,77408.97,77398.88,77398.88,0.04143,2026-04-25 16:30:00+00:00,BTC/USDT
1777134900000,77402.69,77402.69,77165.67,77224.61,0.04698,2026-04-25 16:35:00+00:00,BTC/USDT
1777135200000,77304.69,77341.24,77304.69,77341.24,0.01412,2026-04-25 16:40:00+00:00,BTC/USDT
1777135500000,77341.24,77341.24,77341.24,77341.24,0.0,2026-04-25 16:45:00+00:00,BTC/USDT
